iter	Passed	Remaining
0	3	3864
1	6	3433
2	11	3882
3	15	3746
4	17	3537
5	21	3556
6	26	3803
7	29	3637
8	34	3745
9	37	3696
10	42	3809
11	47	3899
12	50	3809
13	54	3810
14	57	3793
15	59	3680
16	63	3644
17	65	3559
18	67	3497
19	71	3519
20	75	3509
21	78	3489
22	82	3493
23	85	3479
24	87	3419
25	91	3439
26	95	3437
27	99	3440
28	103	3449
29	106	3454
30	109	3425
31	113	3434
32	118	3473
33	122	3477
34	125	3472
35	129	3472
36	134	3503
37	138	3499
38	140	3465
39	142	3418
40	144	3386
41	148	3381
42	151	3364
43	154	3360
44	158	3356
45	162	3361
46	165	3354
47	169	3354
48	171	3328
49	174	3319
50	178	3313
51	181	3305
52	184	3297
53	187	3286
54	191	3284
55	194	3275
56	196	3259
57	199	3238
58	202	3232
59	206	3227
60	209	3223
61	212	3222
62	216	3220
63	219	3203
64	221	3183
65	224	3177
66	227	3170
67	230	3162
68	235	3172
69	238	3167
70	240	3145
71	242	3124
72	244	3110
73	248	3104
74	251	3102
75	253	3085
76	257	3082
77	261	3085
78	264	3087
79	268	3082
80	271	3081
81	276	3097
82	280	3094
83	282	3085
84	285	3078
85	288	3070
86	292	3068
87	297	3082
88	300	3077
89	304	3075
90	307	3069
91	311	3071
92	313	3057
93	317	3055
94	320	3056
95	324	3055
96	327	3051
97	331	3048
98	333	3039
99	337	3037
100	341	3038
101	344	3036
102	349	3043
103	351	3027
104	354	3023
105	358	3023
106	361	3017
107	366	3023
108	369	3019
109	372	3015
110	375	3010
111	379	3006
112	382	3001
113	385	2998
114	388	2987
115	390	2972
116	393	2971
117	397	2971
118	400	2966
119	404	2962
120	407	2957
121	410	2955
122	413	2951
123	417	2947
124	419	2939
125	423	2937
126	425	2927
127	429	2923
128	432	2919
129	436	2920
130	438	2908
131	441	2904
132	445	2903
133	447	2891
134	451	2891
135	453	2881
136	457	2884
137	461	2881
138	464	2880
139	468	2875
140	471	2874
141	475	2872
142	478	2866
143	481	2863
144	483	2853
145	486	2848
146	488	2835
147	492	2833
148	495	2829
149	498	2826
150	501	2817
151	504	2813
152	507	2811
153	510	2803
154	513	2799
155	516	2795
156	519	2790
157	523	2789
158	527	2788
159	530	2785
160	533	2781
161	536	2776
162	541	2779
163	544	2775
164	548	2774
165	551	2770
166	555	2771
167	558	2767
168	561	2762
169	565	2758
170	569	2761
171	573	2759
172	576	2757
173	580	2754
174	583	2751
175	587	2749
176	589	2740
177	592	2736
178	595	2732
179	599	2729
180	602	2725
181	605	2722
182	609	2719
183	610	2709
184	615	2709
185	619	2709
186	622	2707
187	625	2702
188	628	2697
189	632	2696
190	636	2694
191	639	2690
192	642	2688
193	646	2687
194	650	2686
195	654	2684
196	656	2677
197	660	2677
198	665	2678
199	668	2673
200	671	2668
201	675	2669
202	680	2672
203	683	2668
204	687	2665
205	690	2662
206	694	2659
207	695	2649
208	699	2646
209	702	2642
210	706	2640
211	709	2636
212	712	2633
213	715	2629
214	719	2627
215	722	2623
216	726	2620
217	729	2615
218	732	2612
219	736	2609
220	739	2606
221	742	2602
222	746	2599
223	749	2597
224	753	2594
225	756	2590
226	759	2587
227	763	2583
228	766	2581
229	770	2578
230	773	2574
231	776	2571
232	780	2568
233	783	2565
234	785	2558
235	789	2555
236	792	2552
237	797	2552
238	800	2549
239	804	2546
240	807	2542
241	811	2541
242	815	2539
243	818	2535
244	821	2532
245	824	2525
246	827	2521
247	830	2518
248	834	2516
249	837	2513
250	841	2512
251	845	2508
252	848	2506
253	852	2502
254	857	2506
255	862	2506
256	866	2505
257	869	2501
258	871	2493
259	874	2490
260	878	2487
261	881	2484
262	885	2481
263	888	2477
264	892	2474
265	895	2470
266	898	2466
267	901	2463
268	904	2459
269	908	2454
270	911	2451
271	915	2449
272	918	2445
273	921	2441
274	924	2438
275	927	2433
276	931	2431
277	934	2427
278	938	2424
279	941	2421
280	944	2417
281	948	2414
282	951	2411
283	954	2407
284	958	2404
285	962	2402
286	965	2398
287	968	2394
288	971	2390
289	974	2387
290	978	2383
291	981	2378
292	984	2374
293	987	2371
294	991	2368
295	994	2364
296	997	2360
297	1000	2356
298	1003	2352
299	1006	2349
300	1010	2345
301	1013	2341
302	1019	2344
303	1022	2342
304	1026	2337
305	1029	2334
306	1032	2331
307	1035	2326
308	1038	2322
309	1042	2320
310	1045	2316
311	1048	2312
312	1051	2308
313	1054	2303
314	1057	2299
315	1060	2295
316	1063	2290
317	1066	2287
318	1069	2283
319	1071	2277
320	1074	2273
321	1078	2269
322	1081	2266
323	1084	2262
324	1087	2259
325	1091	2256
326	1094	2252
327	1097	2249
328	1100	2245
329	1104	2241
330	1107	2237
331	1110	2234
332	1112	2228
333	1115	2224
334	1118	2221
335	1122	2217
336	1125	2214
337	1128	2211
